Stock Moves/Sale Line/Barcode,Design Code,Size,Quantity,Designs Artwork,Designs Mockups đã fix,Stock Moves/Barcode,,,,Link Designs,Link Mockup,Hình ảnh Mockup,Barcode,Hình ảnh QR code,154,168
pb100764601993_45005,FaceMask-1251242-white,one,1,https://pb.btdmp.com/pbase/shop-id/10076460/artworks/8ac0b0cef5fdbdf6041f3dc49892280c.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21596290921_5f2577690a614fekfj15867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21596290920_5f257768c1138vqEWO15867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21596290920_5f257768396899fbAh15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb100764601993_45005_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10076460/artworks/8ac0b0cef5fdbdf6041f3dc49892280c.png,https://assets.boostflow.com/phub/phub-rendered/v21596290921_5f2577690a614fekfj15867814975e945d39b1a66.png,#NAME?,,,1,
pb1005478832563_44978,FaceMask-1404224-white,one,1,https://pb.btdmp.com/pbase/shop-id/10054788/artworks/4c6dd1ad52d617b6c73a4043a5877e78.jpg,"""[""https://assets.boostflow.com/phub/phub-rendered/v21599212090_5f520a3ad0ce6dflTy15867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21599212085_5f520a350f1424eFH415867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21599212083_5f520a33bbd2dHSFHF15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb1005478832563_44978_2020_10_21_12_11.png,,,,https://pb.btdmp.com/pbase/shop-id/10054788/artworks/4c6dd1ad52d617b6c73a4043a5877e78.jpg,https://assets.boostflow.com/phub/phub-rendered/v21599212090_5f520a3ad0ce6dflTy15867814975e945d39b1a66.png,#NAME?,,,1,
pb101147272065_44937,FaceMask-1518342-white,one,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/11013c9d8da6116f6db38994ec31ec4f.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602051327_5f7d5cff264b3Kj4A015867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602051327_5f7d5cffcaa6cXgRNc15867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602051325_5f7d5cfde81e4SHOPw15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272065_44937_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/11013c9d8da6116f6db38994ec31ec4f.png,https://assets.boostflow.com/phub/phub-rendered/v21602051327_5f7d5cff264b3Kj4A015867814975e945d39b1a66.png,#NAME?,,,1,
pb100665161876_45018,FaceMask-1526242-white,one,1,https://pb.btdmp.com/pbase/shop-id/10066516/artworks/57656c3e71fdf3b0a6ec6222e04489f7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602393668_5f829643f2ab62AVmR15867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602393676_5f82964c426253HZkX15867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602393674_5f82964aeb5a6yUkVC15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb100665161876_45018_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10066516/artworks/57656c3e71fdf3b0a6ec6222e04489f7.png,https://assets.boostflow.com/phub/phub-rendered/v21602393668_5f829643f2ab62AVmR15867814975e945d39b1a66.png,#NAME?,,,1,
pb100796692529_44926,FaceMask-918978-white,one,1,https://assets.boostflow.com/pbase/shop-id/10079669/artworks/67674b642adfcb318aecf3ed963fb9a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21589520917_5ebe2a15b495dzYYcU15867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21589520924_5ebe2a1c45c4egYeJH15867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21589520930_5ebe2a222085cUuqcM15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb100796692529_44926_2020_10_21_12_10.png,,,,https://assets.boostflow.com/pbase/shop-id/10079669/artworks/67674b642adfcb318aecf3ed963fb9a7.png,https://assets.boostflow.com/phub/phub-rendered/v21589520917_5ebe2a15b495dzYYcU15867814975e945d39b1a66.png,#NAME?,,,1,
pb100764601992_44895,FaceMask-929053-white,one,1,https://assets.boostflow.com/pbase/shop-id/10076460/artworks/21d7f8646b0dc2329179426947fab730.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21589705784_5ec0fc38c5dcbfVspH15867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21589705787_5ec0fc3b1cbb9ct4Gt15867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21589705788_5ec0fc3cb1978XntXS15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb100764601992_44895_2020_10_21_12_11.png,,,,https://assets.boostflow.com/pbase/shop-id/10076460/artworks/21d7f8646b0dc2329179426947fab730.png,https://assets.boostflow.com/phub/phub-rendered/v21589705784_5ec0fc38c5dcbfVspH15867814975e945d39b1a66.png,#NAME?,,,1,
pb100764601992_44964,FaceMask-929065-white,one,2,https://assets.boostflow.com/pbase/shop-id/10076460/artworks/a35be12ad0682c971c1fbaf98807d2b0.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21589705855_5ec0fc7f9d260Uyjk015867814975e945d39b1a66.png"",""https://assets.boostflow.com/phub/phub-rendered/v21589705855_5ec0fc7f838a2fkT5X15867874285e9474640b191.png"",""https://assets.boostflow.com/phub/phub-rendered/v21589705854_5ec0fc7ec6e1arA97g15867814985e945d3a8c589.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb100764601992_44964_2020_10_21_12_11.png,,,,https://assets.boostflow.com/pbase/shop-id/10076460/artworks/a35be12ad0682c971c1fbaf98807d2b0.png,https://assets.boostflow.com/phub/phub-rendered/v21589705855_5ec0fc7f9d260Uyjk015867814975e945d39b1a66.png,#NAME?,,,1,
pb101146712218_44925,Quilt-1535338,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/427222d4ae7f73726b6ad4371ee8837f.jpg,"[""https://assets.boostflow.com/phub/phub-rendered/v21602758101_5f8825d55c326asIqv15740736605dd2753cf2601.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602758101_5f8825d5c19bfiKnC915740741015dd276f518b78.png""]",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101146712218_44925_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/427222d4ae7f73726b6ad4371ee8837f.jpg,https://assets.boostflow.com/phub/phub-rendered/v21602758101_5f8825d55c326asIqv15740736605dd2753cf2601.png,#NAME?,,,1,
pb101136751189_44933,SherpaBlanket-1529038-5412237,150*200cm,1,https://assets.boostflow.com/pbase/shop-id/10113675/pts-rendered-artwork-5412237_tcltoquu1603182242.png,"""[""https://assets.boostflow.com/pts-rendered/shop-id/10113675/pts-rendered-mockup-5412237_uryyuomh1603182256.jpg""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101136751189_44933_2020_10_21_12_10.png,,,,https://assets.boostflow.com/pbase/shop-id/10113675/pts-rendered-artwork-5412237_tcltoquu1603182242.png,https://assets.boostflow.com/pts-rendered/shop-id/10113675/pts-rendered-mockup-5412237_uryyuomh1603182256.jpg,#NAME?,,,1,
pb101136751196_44900,SherpaBlanket-1529038-5422656,150*200cm,1,https://assets.boostflow.com/pbase/shop-id/10113675/pts-rendered-artwork-5422656_pvyfrryx1603249126.png,"""[""https://assets.boostflow.com/pts-rendered/shop-id/10113675/pts-rendered-mockup-5422656_mqlgccfl1603249140.jpg""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101136751196_44900_2020_10_21_12_11.png,,,,https://assets.boostflow.com/pbase/shop-id/10113675/pts-rendered-artwork-5422656_pvyfrryx1603249126.png,https://assets.boostflow.com/pts-rendered/shop-id/10113675/pts-rendered-mockup-5422656_mqlgccfl1603249140.jpg,#NAME?,,,1,
